open,high,low,close,tick_volume,spread,real_volume
1.08761,1.08761,1.08757,1.08757,3,4,0
1.08757,1.08757,1.08756,1.08757,9,4,0
1.08756,1.08757,1.08753,1.08754,16,4,0
1.08755,1.08762,1.08755,1.08762,10,4,0
1.08762,1.08762,1.08759,1.08762,6,4,0
1.08762,1.08762,1.08761,1.08762,7,4,0
1.08763,1.08763,1.08756,1.08757,7,1,0
1.08754,1.08757,1.08753,1.08753,9,4,0
1.08752,1.08752,1.08746,1.08746,12,4,0
1.08748,1.08748,1.08743,1.08744,5,4,0
1.08747,1.08749,1.08741,1.08741,20,4,0
1.08741,1.08741,1.0873599999999999,1.0873599999999999,10,4,0
1.0873599999999999,1.08738,1.08732,1.08733,18,4,0
1.08733,1.08738,1.08733,1.0873599999999999,10,4,0
1.08737,1.08737,1.0873599999999999,1.0873599999999999,10,4,0
1.0873599999999999,1.08739,1.0873599999999999,1.08737,13,4,0
1.08737,1.08737,1.0873599999999999,1.0873599999999999,2,4,0
1.0873599999999999,1.08739,1.08735,1.0873599999999999,11,4,0
1.08737,1.08737,1.0873,1.08731,11,4,0
1.08732,1.08735,1.08732,1.08732,4,4,0
1.08731,1.08732,1.08731,1.08731,13,4,0
1.08732,1.08732,1.08725,1.08725,10,4,0
1.08725,1.0872600000000001,1.08725,1.0872600000000001,4,2,0
1.0872600000000001,1.0872600000000001,1.08725,1.0872600000000001,3,4,0
1.08727,1.08737,1.08727,1.0873,13,4,0
1.08727,1.08732,1.08727,1.08729,18,4,0
1.08729,1.08732,1.08729,1.08731,13,4,0
1.08731,1.08731,1.08722,1.08722,14,4,0
1.08722,1.08722,1.08719,1.08721,20,4,0
1.0872,1.08722,1.0872,1.08722,6,4,0
1.08721,1.08722,1.08714,1.08714,18,4,0
1.08715,1.08716,1.08711,1.08711,10,4,0
1.08711,1.08712,1.08708,1.08708,10,4,0
1.08708,1.08711,1.08708,1.08711,15,4,0
1.08712,1.08714,1.0871,1.08714,15,4,0
1.08714,1.08716,1.08711,1.08716,10,4,0
1.08716,1.08716,1.08712,1.08712,20,4,0
1.08713,1.08715,1.08712,1.08715,9,4,0
1.08715,1.08715,1.0871,1.08713,12,5,0
1.08712,1.08715,1.08708,1.0871,16,4,0
1.0871,1.0872,1.0871,1.0872,11,4,0
1.0872,1.08725,1.08719,1.0872,19,4,0
1.0872,1.08728,1.08719,1.0872,25,4,0
1.08719,1.08719,1.08714,1.08715,10,4,0
1.08715,1.08715,1.08714,1.08715,7,4,0
1.08715,1.08715,1.08714,1.08715,3,5,0
1.08715,1.08718,1.08707,1.08716,20,4,0
1.08716,1.08722,1.08714,1.08721,20,4,0
1.08722,1.08731,1.0872,1.08731,16,4,0
1.08731,1.08733,1.0873,1.08731,20,4,0
1.08731,1.08732,1.0873,1.08731,20,4,0
1.08731,1.08734,1.08727,1.08729,22,4,0
1.08729,1.08732,1.08729,1.08731,10,4,0
1.08731,1.08735,1.0873,1.08733,21,4,0
1.08732,1.08738,1.08731,1.0873599999999999,17,4,0
1.08735,1.08743,1.08735,1.08741,18,4,0
1.08741,1.08742,1.0873599999999999,1.08739,13,4,0
1.08739,1.08742,1.08735,1.08737,15,4,0
1.08738,1.08743,1.08738,1.08741,5,4,0
1.08738,1.08742,1.0873599999999999,1.08742,13,4,0
1.08741,1.08744,1.08738,1.0874,12,4,0
1.0874,1.08742,1.0874,1.0874,16,4,0
1.0874,1.08743,1.0874,1.08741,9,4,0
1.08741,1.08742,1.08738,1.08741,13,4,0
1.08741,1.08741,1.08737,1.08738,7,4,0
